Date,SPY,TLT,GLD,HYG,USD_TRY
2015-01-02,203.8,119.54,116.98,85.05,2.5148
2015-01-05,202.47,119.48,117.49,85.4,2.5063
2015-01-06,201.34,117.11,117.62,84.77,2.5821
2015-01-07,198.99,118.94,115.59,85.24,2.5758
2015-01-08,201.03,116.95,115.31,84.99,2.5807
2015-01-09,195.93,116.04,114.95,84.0,2.6318
2015-01-12,199.92,116.6,114.88,83.61,2.6048
2015-01-13,198.28,115.24,114.22,84.01,2.5879
2015-01-14,199.08,114.11,114.2,84.24,2.5953
2015-01-15,198.6,113.14,113.71,83.53,2.5866
2015-01-16,202.0,113.74,112.33,83.94,2.5514
2015-01-19,197.41,116.24,113.29,83.91,2.5466
2015-01-20,196.77,116.29,114.26,84.2,2.5372
2015-01-21,195.99,115.08,116.15,84.43,2.5572
2015-01-22,198.61,115.68,116.23,83.71,2.5081
2015-01-23,196.22,115.04,115.8,83.96,2.4886
2015-01-26,195.92,115.03,115.23,83.59,2.5248
2015-01-27,194.05,116.32,113.58,84.6,2.5832
2015-01-28,194.22,115.51,114.67,85.08,2.5383
2015-01-29,195.59,115.53,113.5,85.13,2.5596
2015-01-30,193.24,114.58,112.26,84.52,2.5311
2015-02-02,195.84,114.42,112.06,84.58,2.5068
2015-02-03,197.93,114.71,113.67,84.7,2.4822
2015-02-04,199.14,113.65,113.95,83.95,2.4711
2015-02-05,201.27,113.3,112.87,85.39,2.5023
2015-02-06,199.79,113.05,112.14,85.67,2.5253
2015-02-09,199.59,112.38,112.83,86.79,2.5286
2015-02-10,197.56,111.14,112.68,86.08,2.5191
2015-02-11,197.04,109.67,111.88,87.17,2.5207
2015-02-12,198.31,109.52,111.66,86.3,2.5191
2015-02-13,196.84,109.25,112.47,85.9,2.5447
2015-02-16,196.03,111.58,114.62,86.27,2.527
2015-02-17,194.59,109.05,113.3,86.32,2.5283
2015-02-18,192.81,109.18,112.65,84.82,2.5267
2015-02-19,191.42,109.57,111.82,84.13,2.5267
2015-02-20,191.47,111.0,109.32,84.69,2.5358
2015-02-23,189.14,111.53,108.39,86.06,2.5433
2015-02-24,189.72,110.65,107.37,86.67,2.5859
2015-02-25,193.4,110.66,108.53,86.51,2.5848
2015-02-26,195.11,111.24,108.42,87.06,2.6353
2015-02-27,194.76,110.92,106.79,86.33,2.6272
2015-03-02,192.89,111.74,107.47,86.68,2.6137
2015-03-03,191.34,109.79,107.13,85.82,2.6185
2015-03-04,195.12,111.61,105.4,85.84,2.6312
2015-03-05,195.31,113.18,104.83,85.77,2.6413
2015-03-06,193.98,112.83,104.27,86.32,2.6842
2015-03-09,194.48,113.49,103.43,86.14,2.7228
2015-03-10,199.25,113.55,103.48,86.95,2.7407
2015-03-11,199.6,112.68,101.32,86.84,2.7313
2015-03-12,201.08,112.78,101.09,87.41,2.7296
2015-03-13,201.84,113.86,102.08,87.95,2.778
2015-03-16,201.12,113.46,102.93,86.76,2.787
2015-03-17,198.61,113.07,104.03,86.8,2.7452
2015-03-18,197.9,113.0,105.16,86.85,2.7242
2015-03-19,197.51,113.47,106.67,86.36,2.707
2015-03-20,198.91,114.86,105.57,86.5,2.7463
2015-03-23,200.89,114.18,106.44,85.57,2.7444
2015-03-24,203.1,114.74,104.6,85.95,2.8216
2015-03-25,203.84,114.98,104.03,86.3,2.8456
2015-03-26,205.98,112.99,102.18,86.52,2.8516
2015-03-27,204.31,112.55,103.22,88.18,2.8384
2015-03-30,207.31,112.42,104.55,88.43,2.8734
2015-03-31,208.6,112.39,104.38,88.5,2.8669
2015-04-01,207.98,112.74,106.16,88.03,2.8404
2015-04-02,209.22,110.6,105.51,88.25,2.8615
2015-04-03,209.13,110.66,105.68,87.63,2.8637
2015-04-06,211.91,109.96,105.85,88.5,2.9066
2015-04-07,215.68,108.48,104.81,88.09,2.9057
2015-04-08,221.18,109.03,105.27,88.21,2.8094
2015-04-09,217.79,109.8,107.24,89.57,2.8378
2015-04-10,214.34,109.13,106.23,90.39,2.7763
2015-04-13,213.2,110.01,107.15,90.57,2.8297
2015-04-14,213.67,109.62,107.02,91.54,2.894
2015-04-15,215.89,109.7,108.84,91.53,2.8809
2015-04-16,216.75,108.58,109.36,92.1,2.8426
2015-04-17,211.92,110.22,110.09,92.14,2.7971
2015-04-20,211.27,107.5,110.78,91.53,2.8282
2015-04-21,213.35,107.41,111.06,91.85,2.823
2015-04-22,213.99,108.13,109.63,92.52,2.8045
